"Titan Quest: Anniversary Edition + Titan Quest: Ragnarok DLC",,,
"Anna's Quest",,,
"Bounty Train",,,
"Caravan",,,
"Deponia Doomsday",,,
"Deponia Doomsday Soundtrack",,,
"The Long Journey Home",,,
"Memoria Soundtrack",,,
"Silence",,,
"Acceleration of SUGURI 2",,,
"Cook, Serve, Delicious! 2!!",,,
"Styx: Shards of Darkness",,,
"Crazy Machines 3",,,
"Jalopy",,,
"Kerbal Space Program",,,
"Moon Hunters",,,
"RUINER",,,
"Deus Ex: Mankind Divided",,,
"GOD EATER 2 Rage Burst",,,
"Lara Croft GO",,,
"Mafia III",,,
"Mafia III: Sign of the Times",,,
"Outlast 2",,,
"Aviary Attorney",,,
"DARK SOULS™ III",,,
"DARK SOULS™ III - Ashes of Ariandel™",,,
"Holy Potatoes! We're in Space?!",,,
"Lost Castle",,,
"Overgrowth",,,
"Splasher",,,
"The Gallery - Episode 1: Call of the Starseed",,,
"ALICE VR",,,
"Life is Strange Complete Season (Episodes 1-5)",,,
"Cursed Castilla (Maldita Castilla EX)",,,
"The Long Dark",,,
"Mr. Shifty",,,
"Sleeping Dogs",,,
"Warhammer 40,000: Dawn of War III",,,
"All-Star Fruit Racing - Yogscast Car DLC",,,
"Auto Age: Standoff",,,
"Awesomenauts Yogscast Pack - Coco Nebulon",,,
"Awesomenauts Yogscast Pack - Max Focus",,,
"Awesomenauts Yogscast Pack - Skolldir",,,
"Awesomenauts Yogscast Pack - Ted McPain",,,
"Back to Bed",,,
"Battle Riders",,,
"Battlerite DLC: YogYog Bear Mount",,,
"Bezier",,,
"Blockstorm",,,
"Bomb Defense",,,
"Caveblazers - Arena Mode DLC",,,
"Chainsaw Warrior",,,
"Chivalry: Medieval Warfare",,,
"Cities: Skylines - Snowfall",,,
"ClusterPuck 99",,,
"Cosmonautica",,,
"Crusaders of the Lost Idols - Elite Starter Pack",,,
"Deep Dungeons of Doom",,,
"Dimension Jump",,,
"Distrust",,,
"Dreaming Sarah",,,
"Dungeon of the Endless",,,
"F.E.X (Forced Evolution Experiment)",,,
"Figment Soundtrack",,,
"Filthy, Stinking, Orcs",,,
"Gangs of Space Jingle Jam Pack",,,
"Garry's Mod",,,
"Gunpoint",,,
"Guns of Icarus Alliance",,,
"Guns of Icarus Alliance Soundtrack",,,
"Guns of Icarus Alliance Yogscast 2017 Costume Pack",,,
"Gurgamoth",,,
"Headlander",,,
"Idle Champions of the Forgotten Realms -- Celeste Starter Pack",,,
"The Inner World",,,
"Intelligent Design: An Evolutionary Sandbox",,,
"Lion Quest",,,
"Master Spy",,,
"Mimic Arena",,,
"Mirage: Arcane Warfare",,,
"NASCAR Heat 2 - October Jumbo Expansion",,,
"Offensive Combat: Redux!",,,
"On Rusty Trails",,,
"Painters Guild",,,
"Psychonauts",,,
"Q.U.B.E: Director's Cut",,,
"Scanner Sombre",,,
"Spectrum",,,
"SuperLuminauts",,,
"Tales from Candlekeep: Tomb of Annihilation - Asharra’s Diplomat Pack",,,
"Tales from Candlekeep: Tomb of Annihilation - Birdsong’s Entertainer Pack",,,
"Tales from Candlekeep: Tomb of Annihilation - Dragonbait’s Dungeoneer Pack",,,
"Tales from Candlekeep: Tomb of Annihilation - Tales of Artus Cimber’s Explorer Pack",,,
"Team Fortress 2 badges - Mandrew's Munificent Mug and Israphel's Eleemosynary Expression",,,
"Teslagrad",,,
"Tiltagon",,,
"Toy Odyssey: The Lost and Found",,,
"War for the Overworld - Yogscast Worker Skin",,,
"Warhammer: Vermintide Dwarf Helmet DLC",,,
"Wasted Pizza",,,
"Zero Reflex: Black Eye Edition",,,
"ARMA Gold Edition",,,
"Darkest Dungeon",,,
"DUCKGAME",,,
"Fearless Fantasy",,,
"Grey Goo",,,
"The Incredible Adventures of Van Helsing",,,
"Jump Stars",,,
"Kholat",,,
"Lakeview Cabin Collection",,,
"Machinarium Collector's Edition",,,
"Magicka",,,
"Mighty No. 9",,,
"Minecraft: Story Mode - A Telltale Games Series",,,
"No Time To Explain Remastered",,,
"The Park",,,
"Primal Carnage: Extinction",,,
"Psychonauts",,,
"Shadowrun Returns",,,
"Sorcerer King: Rivals",,,
"Stardew Valley",,,
"Stronghold Legends: Steam Edition",,,
"BlazBlue: Chronophantasma Extend",,,
"H1Z1",,,
"STRAFE: Millennium Edition",,,
"Caveblazers",,,
"The Flame in the Flood",,,
"Verdun",,,
"Warhammer: End Times - Vermintide",,,
"Warhammer: End Times - Vermintide Drachenfels DLC",,,
"Warhammer: End Times - Vermintide Item: Razorfang Poison",,,
"Duck Game",,,
"Glittermitten Grove",,,
"Volgarr the Viking",,,
"Wasted",,,
"Westerado: Double Barreled",,,
"A Story About My Uncle",,,
"Goat Simulator: GOATY",,,
"Kentucky Route Zero",,,
"Neon Drive (Steam)",,,
"Steamworld Heist",,,
"Windward",,,
"Ziggurat",,,
"Eon Altar Episode 1",,,
"Primal Carnage: Extinction",,,
"Rampage Knights",,,
"2064: Read Only Memories",,,
"7 Grand Steps",,,
"A Virus Named Tom",,,
"AI War: Fleet Command",,,
"Ballistick",,,
"Beat Hazard Ultra",,,
"Chroma Squad",,,
"Dangerous High School Girls in Trouble",,,
"Day of the Tentacle",,,
"Double Fine Adventure Documentary",,,
"Dusty Revenge: Co-Op Edition",,,
"Ellipsis",,,
"GRAV (Early Access)",,,
"Guns of Icarus Online",,,
"Hand of Fate",,,
"JumpJet Rex",,,
"Luna's Wandering Stars",,,
"Monster Loves You",,,
"No Time to Explain",,,
"Octodad Dadliest Catch",,,
"Overgrowth Steam key",,,
"Potatoman Seeks the Troof",,,
"Q.U.B.E: Director's Cut",,,
"Retro Game Crunch",,,
"Robot Roller-Derby Disco Dodgeball",,,
"Rocket Birds: Hardboiled Chicken",,,
"ROCKETSROCKETSROCKETS",,,
"Secrets of Raetikon",,,
"shutshimi",,,
"Sproggiwood",,,
"Streamline Early Access",,,
"Super Galaxy Squadron EX",,,
"Super Hexagon",,,
"Super Meat Boy",,,
"The Swapper",,,
"System Shock Pack",,,
"Thirty Flights of Loving",,,
"Tower of Guns",,,
"VVVVVV",,,
"World of Goo",,,
"Dungeons 2",,,
"Legend of Grimrock 2",,,
"The Secret World",,,
"Galak-Z",,,
"Lethal League",,,
"Magicka 2",,,
"Shadowrun Chronicles - Boston Lockdown",,,
"Shadowrun: Dragonfall Director's Cut",,,
"Shadowrun Returns",,,
"TransOcean: The Shipping Company",,,
"WARMACHINE Tactics",,,
"WARMACHINE Tactics - Mercenaries Faction Bundle",,,
"Trine 2: Complete Story",,,
"Always Sometimes Monsters",,,
"Broken Sword 5: The Serpent's Curse",,,
"Stacking",,,
"Syberia",,,
